timestamp,rmssd_ratio,slope,rmssd_raw,mean_rr
690,0.6365852646285834,70.3125,113.30606012341435,479.8828125
700,0.8319025584467262,-285.15625,128.74416644136122,634.5703125
710,1.2098740349877368,-218.75,187.238544408825,460.3515625
720,0.9966081520749266,121.09375,177.38667461046379,436.9140625
730,0.9506674540662984,-15.625,169.20967181145252,491.6015625
740,0.6743694636028537,7.8125,120.03128447052767,476.3671875
750,1.0825129099325002,42.96875,167.52830104464323,469.53125
760,0.9406749976055867,-58.59375,145.5776487634353,442.3828125
770,0.4772763166294511,85.9375,84.95059818742489,408.7890625
780,1.3113154846474702,82.03125,233.401555769469,444.140625
790,0.8883334362790299,-289.0625,137.47733627514467,453.3203125
800,1.2394855239229114,222.65625,191.82118022516954,486.328125
810,0.806771152281829,242.1875,143.59751280076472,506.640625
820,0.8665506878857878,156.25,134.10626624270475,462.890625
830,0.9695848455333774,-449.21875,172.57678571440727,449.609375
840,1.1240894442066764,-253.90625,173.96263183771566,478.3203125
850,0.8139036610510838,-281.25,144.8670308250493,433.984375
860,0.8664152424782862,-136.71875,134.08530488622128,628.515625
870,0.7012917583816267,167.96875,124.82319424343726,487.3046875
880,0.7279148827620072,125.0,129.56185456017667,452.9296875
890,0.8893891189498856,-242.1875,158.30271698739762,396.09375
900,1.1607599020930666,27.34375,206.6041087711035,438.8671875
910,0.8855546997233973,-332.03125,137.0473025915327,610.7421875
920,0.48216426935553564,-207.03125,85.82060680407938,410.15625
930,0.8708160610978088,-35.15625,134.76636989687344,622.265625
940,0.8997166601603126,183.59375,139.2389893138701,516.6015625
950,0.7564183878782323,152.34375,134.63520457922147,391.9921875
960,0.8424963884268316,-171.875,130.38365389859027,492.1875
970,0.742107071201531,19.53125,132.08792772894492,426.3671875
980,1.2090006948086869,-214.84375,187.103387409691,443.359375
990,1.0765756124244206,-42.96875,191.62011414124376,476.171875
1000,0.6559814654871384,42.96875,116.75839749714781,419.53125
1010,0.9170842103640812,-250.0,141.92676897196796,465.4296875
1020,0.8813987021315794,-15.625,136.40412576720615,491.9921875
1030,0.9909452700505332,97.65625,176.37873602504573,463.671875
1040,0.8660862154451184,125.0,134.03438508715138,526.7578125
1050,0.8467047279415618,0.0,131.03493109136366,536.71875
1060,1.2184236924272012,-230.46875,216.8677093562592,425.78125
1070,0.9076018201483016,117.1875,140.45928649844166,511.5234375
1080,0.8561616789297037,101.5625,152.38855194798143,506.4453125
1090,1.0175259513345842,-246.09375,181.10984187847637,436.1328125
1100,0.8528996816817846,351.5625,131.9936541381072,451.5625
1110,0.7852272848918046,-101.5625,121.52076133671672,516.40625
1120,0.9972553765498983,82.03125,154.33395519639384,576.171875
1130,0.6732408109899026,15.625,119.83039515070325,474.0234375
1140,0.8200628101943577,89.84375,145.96330018897189,386.9140625
1150,1.2851896436809023,97.65625,228.75140712196637,446.6796875
1160,0.7735669001869969,62.5,137.68747498924682,392.96875
1170,1.0721796097879366,160.15625,165.92913284856968,525.1953125
1180,0.8298651342338543,-457.03125,147.7080196769676,477.1484375
1190,0.9487852563190813,-85.9375,146.83278193629417,469.7265625
1200,0.9984818997284497,-93.75,154.5237703407762,482.8125
1210,0.8883334362790299,-289.0625,137.47733627514467,438.671875
1220,0.8854327356893136,82.03125,157.59851878410558,418.5546875
1230,0.8128817505957147,359.375,125.80053076317307,535.15625
1240,1.0434764537386043,54.6875,161.48706945750698,473.046875
1250,0.910528940275314,-121.09375,162.065402049696,406.0546875
1260,0.43579832991840417,85.9375,77.56791511696125,380.2734375
1270,0.813129215744457,382.8125,125.8388281502584,497.265625
1280,0.8451389754165398,11.71875,130.7926172510699,428.90625
1290,0.9101290645878681,222.65625,140.85039958670174,452.734375
1300,0.9027675648769176,113.28125,139.71114339086284,615.625
1310,0.8912114061598736,7.8125,158.62706660032418,439.84375
1320,0.7123914751306625,210.9375,126.79883716701781,466.9921875
1330,1.1603160978646663,-121.09375,179.569022010221,477.9296875
1340,0.7998127660898879,-11.71875,142.35898692208917,442.578125
1350,0.8837163267040268,-375.0,136.76279835532858,576.7578125
1360,1.010914958817502,-156.25,179.93314873580206,423.828125
1370,0.6715254009081805,66.40625,119.5250686396202,475.390625
1380,0.9251120294178875,-214.84375,164.6610517874222,418.75
1390,0.7591781629689212,23.4375,135.1264180265436,388.0859375
1400,0.8710470672194154,-58.59375,134.8021201061583,624.8046875
1410,0.9974402916212668,85.9375,154.3625724142207,581.4453125
1420,0.874833542705685,-11.71875,155.71196428120896,414.6484375
1430,1.0719450262667205,179.6875,165.89282900553758,533.3984375
1440,1.0715129559108256,-31.25,190.7190099291501,460.3515625
1450,1.0425669111116787,-15.625,185.56689209893176,445.5078125
1460,1.0485554497687146,-78.125,186.63279443570892,473.2421875
1470,1.343947052789232,230.46875,239.2096613402899,475.1953125
1480,0.5037368429243791,54.6875,89.66031760736712,415.4296875
1490,0.989819050084892,-11.71875,176.17827969306703,415.234375
1500,0.6794998158375831,-39.0625,120.94443787049163,425.1953125
1510,0.8885598882781911,242.1875,137.51238169431662,608.984375
1520,0.9777647123369068,-144.53125,151.31760515393782,517.578125
1530,0.9083957999407857,97.65625,140.58216178655894,491.796875
1540,1.1974633138007187,-113.28125,185.3178772129672,471.875
1550,0.8679232968387124,425.78125,134.31868943301706,594.53125
1560,0.8785347224606385,-160.15625,156.37073871276448,438.0859375
1570,0.985918573564176,-269.53125,175.48403235225862,497.65625
1580,0.494467547083388,113.28125,88.01047201681008,402.734375
1590,1.2874461187229191,140.625,229.15303799686092,468.359375
1600,1.2724435807566568,-332.03125,226.48273039902338,481.4453125
1610,0.7364836680959818,160.15625,131.08701601172618,465.4296875
1620,0.8616223239965674,343.75,133.34355900686924,501.171875
1630,0.9707345409598598,160.15625,172.78142045283877,498.4375
1640,0.6792572805799115,-3.90625,120.90126892515981,387.109375
1650,0.9863690164478164,167.96875,152.64919615497448,430.859375
1660,1.049676092053565,277.34375,162.44651748299185,560.9375
1670,0.8998168740881312,-148.4375,160.1587572011711,504.296875
1680,0.7524029451169297,-54.6875,133.92049435230513,466.40625
1690,0.942795294014475,-179.6875,167.80850296621787,495.1171875
1700,0.7780200637905059,-164.0625,120.40538109942332,524.4140625
1710,0.8852706647659484,23.4375,137.00334570804236,537.6953125
1720,0.9350873061041522,27.34375,166.43655518463177,425.0
1730,0.9516612519580872,285.15625,147.27786731014388,477.34375
1740,0.8856188096087134,-46.875,157.6316381537649,441.6015625
1750,0.9363518391608072,-97.65625,144.90860234121214,558.7890625
1760,0.7305394485731312,-199.21875,130.0290020549692,391.40625
1770,0.9165642825502819,-7.8125,163.13963498072667,404.296875
1780,1.0043109305421685,-42.96875,178.7576951612393,459.375
1790,0.4583374526194104,-105.46875,81.57966237815374,399.0234375
1800,1.1962165614177427,-117.1875,185.12493142301227,468.9453125
1810,1.2962469738775513,-128.90625,230.71950564651664,467.3828125
1820,0.8843421814878973,-363.28125,136.85965483406474,594.140625
1830,0.872875428548225,46.875,155.36343877680048,414.6484375
1840,0.9636710650360044,50.78125,149.13649048437713,452.9296875
1850,0.7933416785291744,218.75,122.77653442505873,552.1484375
1860,1.248907100640062,460.9375,222.2934631015147,436.5234375
1870,0.7776967553960416,-183.59375,120.35534630949971,532.8125
